Latitude, Longitude
4.139073560061996204e+01,-7.395321659998725750e+01
4.139074431497697049e+01,-7.395321357713264376e+01
4.139075302932567979e+01,-7.395321055427672263e+01
4.139076174336934599e+01,-7.395320753139223768e+01
4.139077045089499052e+01,-7.395320450761437314e+01
4.139077907925933175e+01,-7.395320146773345016e+01
4.139078717859230494e+01,-7.395319826502986871e+01
4.139079353389416838e+01,-7.395319419931412597e+01
4.139079773150406538e+01,-7.395318808299769842e+01
4.139080175445809573e+01,-7.395318007695802009e+01
4.139080715910290564e+01,-7.395317177834637334e+01
4.139081391322681469e+01,-7.395316436257154180e+01
4.139082149532020338e+01,-7.395315804486305922e+01
4.139082941448235431e+01,-7.395315261576304522e+01
4.139083715223737414e+01,-7.395314752659507462e+01
4.139084482314418523e+01,-7.395314226737990282e+01
4.139085308516112605e+01,-7.395313743084631142e+01
4.139086194554504772e+01,-7.395313380434569694e+01
4.139087098275224719e+01,-7.395313132051238370e+01
4.139087997163790078e+01,-7.395312943959626750e+01
4.139088890884829652e+01,-7.395312774918392051e+01
4.139089781886315222e+01,-7.395312609388668079e+01
4.139090652577676366e+01,-7.395312444493150394e+01
4.139091334705329928e+01,-7.395312284008538484e+01
4.139091335271260874e+01,-7.395312150099913140e+01
4.139091330657164036e+01,-7.395312005194217875e+01
4.139091332064661799e+01,-7.395311849265681303e+01
4.139091332152290192e+01,-7.395311683072617370e+01
4.139091336464554871e+01,-7.395311507311980392e+01
4.139091341399262802e+01,-7.395311322557142830e+01
4.139091349910533779e+01,-7.395311129369072489e+01
4.139091360258221641e+01,-7.395310927706181303e+01
4.139091374309591487e+01,-7.395310717273082446e+01
4.139091391512851459e+01,-7.395310496909438314e+01
4.139091413534619335e+01,-7.395310264982960291e+01
4.139091440942572575e+01,-7.395310018874342006e+01
4.139091475964990252e+01,-7.395309755341145319e+01
4.139091520745126473e+01,-7.395309470107117988e+01
4.139091579173406643e+01,-7.395309158227333057e+01
4.139091656234853644e+01,-7.395308813916858526e+01
4.139091759500598755e+01,-7.395308431215259759e+01
4.139091899363126714e+01,-7.395308004604829932e+01
4.139092090421974746e+01,-7.395307530873101598e+01
4.139092352001969743e+01,-7.395307011865813251e+01
4.139092708264648479e+01,-7.395306459232827478e+01
4.139093185653958074e+01,-7.395305900614766870e+01
4.139093805577073226e+01,-7.395305385442381407e+01
4.139094570285409702e+01,-7.395304982769910396e+01
4.139095447921263116e+01,-7.395304758843411719e+01
4.139096376974847402e+01,-7.395304735261018436e+01
4.139097301704320131e+01,-7.395304868155150757e+01
4.139098203047119284e+01,-7.395305083469359886e+01
4.139099089303066137e+01,-7.395305326805907953e+01
4.139099970910913839e+01,-7.395305575916439977e+01
4.139100851586398733e+01,-7.395305825742892125e+01
4.139101727586066914e+01,-7.395306076865007583e+01
4.139102543428163017e+01,-7.395306349992083028e+01
4.139103006376387839e+01,-7.395306799476665560e+01
4.139103129087370547e+01,-7.395307508676698660e+01
4.139103508203299953e+01,-7.395308079403662305e+01
4.139103882912743870e+01,-7.395308737592475268e+01
4.139104393550832128e+01,-7.395309317474128363e+01
4.139104998766782018e+01,-7.395309852748297885e+01
4.139105695600805035e+01,-7.395310282736869567e+01
4.139106438712585856e+01,-7.395310592167754749e+01
4.139107155484726519e+01,-7.395310716424636155e+01
4.139107734512434433e+01,-7.395310500031280299e+01
4.139108312800794920e+01,-7.395310172484418842e+01
4.139109127750007389e+01,-7.395309801027228502e+01
4.139110201388081833e+01,-7.395309013100886375e+01
4.139111265818092278e+01,-7.395308506573857699e+01
